Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
"Tuesday, Dec. 18, 1979",On Kawara,(Japanese),(Male),-1933,,2021c,**Painting & Sculpture**,2014-12-18T00:00:00
"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,(American),(Male),-1928,-1987,2019s,**Architecture & Design**,2014-12-18T00:00:00
"Pittsburgh, Pennsylvania",Lee Friedlander,(American),(Male),-1934,,2020S,**Photography**,2014-12-18T00:00:00
Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,(Spanish),(Male),-1893,-1983,2021S,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Unity Temple, Oak Park, IL",Frank Lloyd Wright,(American),(Male),-1867,-1959,2021,**Architecture & Design**,2014-12-18T00:00:00
PORTRAITS DE CHOPIN,Marc Chagall,(French),(Male),-1887,-1985,2021(,**Prints & Illustrated Books**,2014-12-18T00:00:00
The Razorback Bunch (Etching III),Robert Rauschenberg,(American),(Male),-1925,-2008,1997s,**Prints & Illustrated Books**,2014-12-18T00:00:00
Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,(American),(Male),-1938,-2011,2021S,**Media and Performance Art**,2014-12-18T00:00:00
Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,(American),(Male),-1929,,1996c,**Prints & Illustrated Books**,2014-12-18T00:00:00
"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,(American),(Male),-1936,,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
Bagatelle,Eugène Atget,(French),(Male),-1857,-1927,2021S,**Photography**,2014-12-18T00:00:00
The Barbie Doll Drawings #27,Adrian Piper,(American),(Female),-1948,,2021c,**Drawings**,2014-12-18T00:00:00
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017S,**Architecture & Design**,2014-12-18T00:00:00
Plate (page 209) from LES PETITES FLEURS,Émile Bernard,(French),(Male),-1868,-1941,2020,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,(American),(Male),-1931,-1978,2021C,**Prints & Illustrated Books**,2014-12-18T00:00:00
Untitled,Louise Bourgeois,(American),(Female),-1911,-2010,1975s,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,(Portuguese),(Male),-1933,,1978),**Architecture & Design**,2014-12-18T00:00:00
Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,(American),(Female),-1943,,1983s,**Drawings**,2014-12-18T00:00:00
"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,1987c,**Architecture & Design**,2014-12-18T00:00:00
Stamp Box,Josef Hoffmann,(Austrian),(Male),-1870,-1956,2012c,**Architecture & Design**,2014-12-18T00:00:00
"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,(Swiss),(Male),-1943,,2001S,**Architecture & Design**,2014-12-18T00:00:00
Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,(German),(Male),-1954,,2021c,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,(American),(Male),-1843,-1908,2002C,**Photography**,2014-12-18T00:00:00
"Apollon Musagete, design for Scenery",Pavel Tchelitchew,(American),(Male),-1898,-1957,2002(,**Drawings**,2014-12-18T00:00:00
LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,(French),(Male),-1857,-1927,2003,**Photography**,2014-12-18T00:00:00
Scroll Down and Keep Scrolling,Fiona Banner,(British),(Female),-1966,,2004C,**Prints & Illustrated Books**,2014-12-18T00:00:00
