Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
Parkett no. 25,James Turrell,(American),(Male),-1943,,2017s,**Prints & Illustrated Books**,2015-03-19T13:24:00
"Richard Pare and his Wife, Hyan",Lee Friedlander,(American),(Male),-1934,,2013,**Photography**,2015-03-19T13:24:00
Tailpiece (page 157) from DINGO,Pierre Bonnard,(French),(Male),-1867,-1947,2016),**Prints & Illustrated Books**,2015-03-19T13:24:00
"Generator Project, White Oak, Florida, Plan",Cedric Price,(British),(Male),-1934,-2003,2017s,**Architecture & Design**,2015-03-19T13:24:00
Plate (folio 5) from AN ANGLE,Giuseppe Santomaso,(Italian),(Male),-1907,-1990,2016,**Prints & Illustrated Books**,2015-03-19T13:24:00
Wollen Sie ein eigenes Heim?,László Moholy-Nagy,(American),(Male),-1895,-1946,2017C,**Architecture & Design**,2015-03-19T13:24:00
Untitled,Vilem Reichmann,(Czech),(Male),-1908,,2017(,**Photography**,2015-03-19T13:24:00
Untitled,Frans van der Steen,(Dutch),(Male),,,2016,**Prints & Illustrated Books**,2015-03-19T13:24:00
Composition,Enrique Zañartu,(Chilean),(Male),-1921,-2000,2016),**Prints & Illustrated Books**,2015-03-19T13:24:00
56787654 from Nine Prints,James Siena,(American),(Male),-1957,,2017s,**Prints & Illustrated Books**,2015-03-19T13:24:00
"Plate (volume I, folio 11) from TWO BOOKS 1969",Richard Tuttle,(American),(Male),-1941,,2016,**Prints & Illustrated Books**,2015-03-19T13:24:00
RIVAULX ABBEY,Alfred Capel Cure,(British),(Male),-1826,-1896,2017C,**Photography**,2015-03-19T13:24:00
Unidentified façade sketch,Hans Poelzig,(German),(Male),-1869,-1936,2017(,**Architecture & Design**,2015-03-19T13:24:00
Three Women (Drei Frauen),Christian Rohlfs,(German),(Male),-1849,-1938,2016,**Prints & Illustrated Books**,2015-03-19T13:24:00
"Performance at Amstel 47, Amsterdam, August 1, 1964",Dorine van der Klei,(),(),,,2017),**Fluxus Collection**,2015-03-19T13:24:00
In-text plate (folio 12 verso; duplicate of folio 6 verso) from AIR MEXICAIN,Rufino Tamayo,(Mexican),(Male),-1899,-1991,2016C,**Prints & Illustrated Books**,2015-03-19T13:24:00
Plate 6 (folio 5) from YVETTE GUILBERT (proof before text),Henri de Toulouse-Lautrec,(French),(Male),-1864,-1901,1992S,**Prints & Illustrated Books**,2015-03-19T13:24:00
Sv. Georgii (St. George) from Misticheskie obrazy voiny. 14 litografii (Mystical Images of War: Fourteen Lithographs),Natalia Goncharova,(Russian),(Female),-1881,-1962,2001),**Prints & Illustrated Books**,2015-03-19T13:24:00
Untitled,Al Held,(American),(Male),-1928,-2005,2006,**Painting & Sculpture**,2015-03-19T13:24:00
"Untitled (Distressed Plate), only state",Louise Bourgeois,(American),(Female),-1911,-2010,2016),**Prints & Illustrated Books**,2015-03-19T13:24:00
Strawberry Fields Forever,The Beatles,(),(),-1960,,2001S,**Media and Performance Art**,2015-03-19T13:24:00
Untitled,Bill Brandt,(British),(Male),-1904,-1983,2017,**Photography**,2015-03-19T13:24:00
Dodgers,Jorge Pardo,(American),(Male),-1963,,2016s,**Prints & Illustrated Books**,2015-03-23T10:19:00
MARTHA GRAHAM,Yousuf Karsh,(Canadian),(Male),-1908,-2002,2017s,**Photography**,2015-03-23T10:19:00
"Tree, Rochester, New York",Roger Mertin,(American),(Male),-1942,-2001,2013,**Photography**,2015-03-23T10:19:00
"Bank and Office Building, project, Stuttgart, Germany, Basement plan",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2016),**Architecture & Design**,2015-03-23T10:19:00
Untitled,Denis Brihat,(French),(Male),-1928,,2017s,**Photography**,2015-03-23T10:19:00
Untitled,Sigmar Polke,(German),(Male),-1941,-2010,2016,**Drawings**,2015-03-23T10:19:00
"IIT Library and Administration Building, Chicago, Illinois, Interior perspective",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017C,**Architecture & Design**,2015-03-23T10:19:00
Untitled #21 (Override),Anna Gaskell,(American),(Female),-1969,,2017(,**Photography**,2015-03-23T10:19:00
O Jardim do Outro Homem (Another Man's Garden),João Luis Sol de Carvalho,(Mozambican),(Male),-1953,,2016,**Film**,2015-03-23T10:19:00
"Drawing for Water Tower, IV",Rachel Whiteread,(British),(Female),-1963,,2016),**Drawings**,2015-03-23T10:19:00
"The Crucifixion (Der Gekreuzigte) (plate, foilo 25 verso) from the periodical Der Bildermann, vol. 1, no. 12 (Sept 1916)",Oskar Kokoschka,(Austrian),(Male),-1886,-1980,2017s,**Prints & Illustrated Books**,2015-03-23T15:19:00
Our Lady of Late,Meredith Monk,(American),(Female),-1942,,2016,**Prints & Illustrated Books**,2015-03-23T10:19:00
Untitled,Francis Alÿs,(Belgian),(Male),-1959,,2017C,**Media and Performance Art**,2015-03-23T10:38:00
Duplicate of plate from page 160 (inserted prospectus) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(Male),-1871,-1958,2017(,**Prints & Illustrated Books**,2015-03-23T10:19:00
Untitled for Fluxus 1,Unknown,(),(),,,2016,**Prints & Illustrated Books**,2015-03-23T10:19:00
In-text plate (page 156) from THE WORKS,Edward Burne-Jones,(British),(Male),-1833,-1898,2017),**Prints & Illustrated Books**,2015-03-23T10:19:00
Geography: Studying the cathedral towns,Frances Benjamin Johnston,(American),(Female),-1864,-1952,2016C,**Photography**,2015-03-23T10:19:00
Alice Through the Looking Glass,Peter Blake,(British),(Male),-1932,,1992S,**Prints & Illustrated Books**,2015-03-23T10:38:00
Untitled (Sheet of Studies),Jackson Pollock,(American),(Male),-1912,-1956,2001),**Drawings**,2015-03-23T10:19:00
"USSR, auf der internationalen Pelzfach Ausstellung, Staatenhalle Leipzig",El Lissitzky,(Russian),(Male),-1890,-1941,2006,**Architecture & Design**,2015-03-23T19:33:00
Back cover from Chu. Gyo. Kai.,Koshiro Onchi,(Japanese),(Male),-1891,-1955,2016),**Prints & Illustrated Books**,2015-03-23T19:33:00
The Song of the Blacks and the Blues,Louise Bourgeois,(American),(Female),-1911,-2010,2001S,**Prints & Illustrated Books**,2015-03-23T19:33:00
The Decisive Command from the Pilot to Jump,Willi Ruge,(German),(Male),-1882,-1961,2017,**Photography**,2015-03-23T19:33:00
"Sher-e-Bangla Nagar, Capital of Bangladesh, Dhaka, Bangladesh, National Assembly Building: plan sketch",Louis I. Kahn,(American),(Male),-1901,-1974,2016s,**Architecture & Design**,2015-03-23T19:33:00
Concert poster,Josef Müller-Brockmann,(Swiss),(Male),-1914,-1996,2017s,**Architecture & Design**,2015-03-23T19:33:00
Newport,Lee Friedlander,(American),(Male),-1934,,2013,**Photography**,2015-03-23T19:33:00
Untitled (Table),Rachel Whiteread,(British),(Female),-1963,,2016),**Drawings**,2015-03-23T19:33:00
Steamfitter,Lewis W. Hine,(American),(Male),-1874,-1940,2017s,**Photography**,2015-03-23T19:33:00
"Novyi LEF. Zhurnal levogo fronta iskusstv (New LEF: Journal of the Left Front of the Arts), no. 12",Aleksandr Rodchenko,(Russian),(Male),-1891,-1956,2016,**Prints & Illustrated Books**,2015-03-23T19:33:00
"Anemone (plate, folio 47 verso) from A Bestiary",Kiki Smith,(American),(Female),-1954,,2017C,**Prints & Illustrated Books**,2015-03-23T19:33:00
Accumulations,Louise Bourgeois,(American),(Female),-1911,-2010,2017(,**Prints & Illustrated Books**,2015-03-23T19:33:00
"VIEW AT GIRGEH, UPPER EGYPT",Francis Frith,(British),(Male),-1822,-1898,2016,**Photography**,2015-03-23T19:33:00
Untitled from 13 Woodcuts by Siqueiros (13 Grabados en madera por Siqueiros),David Alfaro Siqueiros,(Mexican),(Male),-1896,-1974,2016),**Prints & Illustrated Books**,2015-03-24T10:25:00
Endless Box,Mieko Shiomi,(Japanese),(Female),-1938,,2017s,**Prints & Illustrated Books**,2015-03-24T12:25:00
Plate (page 157) from LES PETITES FLEURS,Émile Bernard,(French),(Male),-1868,-1941,2016,**Prints & Illustrated Books**,2015-03-24T12:25:00
"THE PARTRIDGE AND THE COCKS (plate 94, 1st supplementary suite) from FABLES",Marc Chagall,(French),(Male),-1887,-1985,2017C,**Prints & Illustrated Books**,2015-03-24T12:25:00
Spectacles,Jean Dubuffet,(French),(Male),-1901,-1985,2017(,**Prints & Illustrated Books**,2015-03-24T10:25:00
"WHEN WE WERE FIFTEEN, MACHETE AND I MET TWO ATTRACTIVE MIAMI COEDS ON A WEEK-END TRIP TO HAVANA",Antonio Mendoza,(American),(Male),-1941,,2016,**Photography**,2015-03-24T12:25:00
Horse and Rider,Marino Marini,(Italian),(Male),-1901,-1980,2017),**Painting & Sculpture**,2015-03-24T00:00:00
"FIGURE IN A CARTOUCHE (plate, page 60) from VIAGGIO IN ITALIA",Eugene Berman,(American),(Male),-1899,-1972,2016C,**Prints & Illustrated Books**,2015-03-24T00:00:00
How Briefly - The Tale of Two Meeting,Jake Berthot,(American),(Male),-1939,-2014,1992S,**Drawings**,2015-03-24T00:00:00
Fluxus 1,Various Artists,(),(),,,2001),**Prints & Illustrated Books**,2015-03-24T00:00:00
Roam Sweet Home,Ellen Spiro,(American),(Female),-1964,,2006,**Media and Performance Art**,2015-03-24T00:00:00
Kyogen,Shigeo Fukuda,(Japanese),(Male),-1932,-2009,2016),**Architecture & Design**,2015-03-24T00:00:00
"Asnières, Ancien chateau René Voyer d'Argenson",Eugène Atget,(French),(Male),-1857,-1927,2001S,**Photography**,2015-03-24T00:00:00
Voice 2,Jasper Johns,(American),(Male),-1930,,2017,**Prints & Illustrated Books**,2015-03-24T00:00:00
Garches (Arbres),Eugène Atget,(French),(Male),-1857,-1927,2016s,**Photography**,2015-03-24T00:00:00
Clergyman and Wife,August Sander,(German),(Male),-1876,-1964,2017s,**Photography**,2015-03-24T00:00:00
In-text plate (folio IX) from 10 RADIERUNGEN,Karl Bohrmann,(German),(Male),-1928,-1998,2013,**Prints & Illustrated Books**,2015-03-24T00:00:00
Plate (page 229) from LES PETITES FLEURS,Émile Bernard,(French),(Male),-1868,-1941,2016),**Prints & Illustrated Books**,2015-03-24T00:00:00
Eve,Aristide Maillol,(French),(Male),-1861,-1944,2017s,**Prints & Illustrated Books**,2015-03-24T00:00:00
"Kanagawa Institute of Technology Workshop, Atsugi, Kanagawa, Japan (Study for the orientation of columns and sightlines)",Junya Ishigami,(Japanese),(),-1974,,2016,**Architecture & Design**,2015-03-24T00:00:00
"MOERIS AND LYCIDAS WAITING FOR VIRGIL (double page headpiece, pages 100 and 101) from LES BUCOLIQUES",Jacques Villon,(French),(Male),-1875,-1963,2017C,**Prints & Illustrated Books**,2015-03-24T00:00:00
Frontispiece from LYSISTRATA,František Kupka,(Czech),(Male),-1871,-1957,2017(,**Prints & Illustrated Books**,2015-03-24T00:00:00
Double page in-text plate (folios 20 and 21) from THE DEPARTURE OF THE ARGONAUT,Francesco Clemente,(Italian),(Male),-1952,,2016,**Prints & Illustrated Books**,2015-03-24T00:00:00
Illustration for the Novel that Writes Itself,Allen Ruppersberg,(American),(Male),-1944,,2016),**Prints & Illustrated Books**,2015-03-24T00:00:00
Studio,Bill Jensen,(American),(Male),-1945,,2017s,**Prints & Illustrated Books**,2015-03-24T00:00:00
Untitled,Jasper Johns,(American),(Male),-1930,,2016,**Prints & Illustrated Books**,2015-03-24T00:00:00
USSR Russische Ausstellung,El Lissitzky,(Russian),(Male),-1890,-1941,2017C,**Architecture & Design**,2015-03-24T00:00:00
Game Box,Takako Saito,(American),(Female),-1929,,2017(,**Fluxus Collection**,2015-03-09T00:00:00
"Sink, supplementary plate for the deluxe edition of the illustrated book, Rauschenberg: XXXIV Drawings for Dante's Inferno",Robert Rauschenberg,(American),(Male),-1925,-2008,2016,**Prints & Illustrated Books**,2015-03-09T00:00:00
Figures for a Corner,Joan Junyer,(American),(Male),-1904,-1994,2017),**Drawings**,2015-03-09T00:00:00
"Duplicate of plate facing page 10 (1st supplementary suite, plate 3) from LA LÉGENDE ET LA VIE D'UTRILLO",Maurice Utrillo,(French),(Male),-1883,-1955,2016C,**Prints & Illustrated Books**,2015-03-09T00:00:00
THE ETHIOPEAN AND TREES,Barbara Olmsted,(American),(Female),-1915,-2013,1992S,**Prints & Illustrated Books**,2015-03-24T00:00:00
Battle of the Fishes,André Masson,(French),(Male),-1896,-1987,2001),**Drawings**,2015-03-24T00:00:00
Kurs montags / Geologie unserer Heimat,Otl Aicher (also known as Otto Aicher),(German),(Male),-1922,-1991,2006,**Architecture & Design**,2015-03-24T00:00:00
Headpiece (page 42) from LE VOYAGE D'URIEN,Maurice Denis,(French),(Male),-1870,-1943,2016),**Prints & Illustrated Books**,2015-03-24T00:00:00
"Set design for Der Blaue Vogel Cabaret Theater, Berlin",Pavel Tchelitchew,(American),(Male),-1898,-1957,2001S,**Drawings**,2015-03-24T00:00:00
Intérieur d'un céramiste. Rue St. Jacques,Eugène Atget,(French),(Male),-1857,-1927,2017,**Photography**,2015-03-24T00:00:00
Untitled,John Altoon,(American),(Male),-1925,-1969,2016s,**Prints & Illustrated Books**,2015-03-24T00:00:00
Double page in-text plate (folios 4 verso and 5) from BESTIARY/BESTARIO,Antonio Frasconi,(American),(Male),-1919,-2013,2017s,**Prints & Illustrated Books**,2015-03-24T00:00:00
Untitled from Favorite Objects,Christian Boltanski,(French),(Male),-1944,,2013,**Prints & Illustrated Books**,2015-03-24T00:00:00
Headpiece (page 21) from FABLES,Thomas Bewick,(British),(Male),-1753,-1828,2016),**Prints & Illustrated Books**,2015-03-25T00:00:00
"Spider, plate 11 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),(Female),-1911,-2010,2017s,**Prints & Illustrated Books**,2015-03-24T00:00:00
Plona Folding Armchair,Giancarlo Piretti,(Italian),(Male),-1940,,2016,**Architecture & Design**,2015-03-24T00:00:00
Plate (folio 56) from LITRES,Geneviève Asse,(French),(Female),-1923,,2017C,**Prints & Illustrated Books**,2015-03-23T00:00:00
St. Sebastian,Louise Bourgeois,(American),(Female),-1911,-2010,2017(,**Prints & Illustrated Books**,2015-03-24T00:00:00
Maison,Louise Bourgeois,(American),(Female),-1911,-2010,2016,**Prints & Illustrated Books**,2015-03-25T00:00:00
"Church Door, Bowery",Brett Weston,(American),(Male),-1911,-1993,2016),**Photography**,2015-03-24T00:00:00
Segell ikhtifa (Chronicle of a Disappearance),Elia Suleiman,(Palestinian),(Male),-1960,,2017s,**Film**,2015-03-24T00:00:00
Untitled,Unknown,(),(),,,2016,**Photography**,2015-03-25T00:00:00
Hafen: Die öffentlichen Hafenanlagen der Stadt Magdeburg,Unknown,(Nationality Unknown),(),,,2017C,**Architecture & Design**,2015-03-24T00:00:00
"Aloha, Washington",Lee Friedlander,(American),(Male),-1934,,2017(,**Photography**,2015-03-24T00:00:00
Divisumma 18 Electronic Printing Calculator,Mario Bellini,(Italian),(Male),-1935,,2016,**Architecture & Design**,2015-03-25T00:00:00
Pontoise. Église St. Maclou,Eugène Atget,(French),(Male),-1857,-1927,2017),**Photography**,2015-03-24T00:00:00
Nine Prints,James Siena,(American),(Male),-1957,,2016C,**Prints & Illustrated Books**,2015-03-24T00:00:00
armpit,Wolfgang Tillmans,(German),(Male),-1968,,1992S,**Photography**,2015-03-24T00:00:00
Headpiece (page 148) from SAINTE MONIQUE,Pierre Bonnard,(French),(Male),-1867,-1947,2001),**Prints & Illustrated Books**,2015-03-24T00:00:00
"FLAGSTONES (a) (plate, folio 27) from FOIRADES/FIZZLES",Jasper Johns,(American),(Male),-1930,,2006,**Prints & Illustrated Books**,2015-03-24T00:00:00
Public Pool,Judith Joy Ross,(American),(Female),-1946,,2016),**Photography**,2015-03-24T00:00:00
"The Big White Cloud, Lake George",Edward Steichen,(American),(Male),-1879,-1973,2001S,**Photography**,2015-03-24T00:00:00
Third Stone,Lee Bontecou,(American),(Female),-1931,,2017,**Prints & Illustrated Books**,2015-03-24T00:00:00
"Untitled (View of the Studio with Eve, Plato, and Golden Bird)",Constantin Brancusi,(French),(Male),-1876,-1957,2016s,**Photography**,2015-03-24T00:00:00
Rock (for Parkett no. 74),Katharina Grosse,(German),(Female),-1961,,2017s,**Prints & Illustrated Books**,2015-03-24T00:00:00
The Little Whirlwind,Riley Thomson,(American),(Male),-1912,-1960,2013,**Film**,2015-03-24T00:00:00
Untitled from The Madrid Suite,Robert Motherwell,(American),(Male),-1915,-1991,2016),**Prints & Illustrated Books**,2015-03-24T00:00:00
Double page plate with text (folios 56 and 57) from THE DEPARTURE OF THE ARGONAUT,Francesco Clemente,(Italian),(Male),-1952,,2017s,**Prints & Illustrated Books**,2015-03-20T00:00:00
Study for Bauhaus Stairway,Roy Lichtenstein,(American),(Male),-1923,-1997,2016,**Drawings**,2015-03-20T00:00:00
Sketchbook,Paul Delvaux,(Belgian),(Male),-1897,-1994,2017C,**Drawings**,2015-03-20T00:00:00
Untitled (Twenty) (Twintig),Lajos Kassák,(Hungarian),(Male),-1887,-1967,2017(,**Drawings**,2015-03-20T00:00:00
NAILS from the portfolio ETC,Omar Rayo,(Colombian),(Male),-1928,-2010,2016,**Prints & Illustrated Books**,2015-03-20T00:00:00
Wall-Covering Material,Anni Albers,(American),(Female),-1899,-1994,2016),**Architecture & Design**,2015-03-20T00:00:00
4 Studies,Giò Pomodoro,(Italian),(Male),-1930,-2002,2017s,**Drawings**,2015-03-27T00:00:00
Headpiece (page 29) from PASSION,Georges Rouault,(French),(Male),-1871,-1958,2016,**Prints & Illustrated Books**,2015-03-26T00:00:00
Interview with George Maciunas,Larry Miller,(American),(Male),-1944,,2017C,**Prints & Illustrated Books**,2015-03-26T00:00:00
"Casa de Retiro Espiritual, Córdoba, Spain (Axonometric)",Emilio Ambasz,(Argentine),(Male),-1943,,2017(,**Architecture & Design**,2015-03-26T00:00:00
Maggrite Sky from Maggrite Sky and Other Skies,Masuo Ikeda,(Japanese),(Male),-1934,-1997,2016,**Prints & Illustrated Books**,2015-03-26T00:00:00
Plate (page 37) from ZITAT,Gottfried Honegger,(Swiss),(Male),-1917,-2016,2017),**Prints & Illustrated Books**,2015-03-27T00:00:00
"Urban Proposal with Multi Thin-Shell Capsules, project (Exterior perspective and detail sketches)",Daniel Grataloup,(Swiss),(Male),-1937,,2016C,**Architecture & Design**,2015-03-26T00:00:00
View from Kenesaw Mountain from the album Photographic Views of Sherman's Campaign,George Barnard,(American),(Male),-1819,-1902,1992S,**Photography**,2015-03-27T00:00:00
Plaza Bicentenario,Oscar Tenreiro Degwitz,(Venezuelan),(Male),-1939,,2001),**Architecture & Design**,2015-03-27T00:00:00
Rules of the Road,Su Friedrich,(American),(Female),-1954,,2006,**Film**,2015-03-27T00:00:00
THE TEMPLE OF FLORA,Jim Dine,(American),(Male),-1935,,2016),**Prints & Illustrated Books**,2015-03-27T00:00:00
"Bandits' Roost, 59 1/2 Mulberry Street",Jacob August Riis,(American),(Male),-1849,-1914,2001S,**Photography**,2015-03-27T00:00:00
Plate (folio 34) from LYRIK,A.R. Penck (Ralf Winkler),(German),(Male),-1939,-2017,2017,**Prints & Illustrated Books**,2015-03-27T00:00:00
ABRAHAM AND THE THREE ANGELS,Kanamori Yoshio,(Japanese),(Male),-1922,,2016s,**Prints & Illustrated Books**,2015-03-27T00:00:00
Calotypes by D.O. Hill,David Octavius Hill,(British),(Male),-1802,-1870,2017s,**Photography**,2015-03-27T00:00:00
Katharine Cornell in The Barrets Of Wimpole Street,Edward Steichen,(American),(Male),-1879,-1973,2013,**Photography**,2015-03-27T00:00:00
In-text plate (page 50) from LETTRES,Henri Matisse,(French),(Male),-1869,-1954,2016),**Prints & Illustrated Books**,2015-03-26T00:00:00
Lafayette Theater I,Aaron Siskind,(American),(Male),-1903,-1991,2017s,**Photography**,2015-03-26T00:00:00
Piccole Note,Anna Maria Maiolino,(Brazilian),(Female),-1942,,2016,**Drawings**,2015-03-27T00:00:00
Running Legs,Lisette Model,(American),(Female),-1901,-1983,2017C,**Photography**,2015-03-27T00:00:00
"Downtown Morton, Mississippi",William Eggleston,(American),(Male),-1939,,2017(,**Photography**,2015-03-27T00:00:00
Cell,Terry Winters,(American),(Male),-1949,,2016,**Prints & Illustrated Books**,2015-03-27T00:00:00
Plate (folio 7) from EL INGENIOSO HIDALGO DON QUIXOTE DE LA MANCHA,Roberto Matta,(Chilean),(Male),-1911,-2002,2016),**Prints & Illustrated Books**,2015-03-26T00:00:00
Plate (page 132) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(Male),-1871,-1958,2017s,**Prints & Illustrated Books**,2015-03-27T00:00:00
Untitled,Jan Groover,(American),(Female),-1943,-2012,2016,**Photography**,2015-03-26T00:00:00
Teacher's Notebook (Kindergarten material based on the educational theories of Friedrich Froebel),B. Ferrari,(),(),,,2017C,**Architecture & Design**,2015-03-26T00:00:00
"""Fuga"" Bowl",Sven Palmqvist,(Swedish),(Male),-1906,-1984,2017(,**Architecture & Design**,2015-03-26T00:00:00
HIRONDELLE DE MER,Lucien Clergue,(French),(Male),-1934,,2016,**Photography**,2015-03-27T00:00:00
Head and Shoulders of Figure,Max Weber,(American),(Male),-1881,-1961,2017),**Prints & Illustrated Books**,2015-03-24T00:00:00
Vase,Richard Süssmuth,(German),(Male),-1900,-1974,2016C,**Architecture & Design**,2015-03-27T00:00:00
"HOOLIGAN... JACKAL BLESSED BY ALL THE ACADEMIES (plate, facing page 88) from PASSION",Georges Rouault,(French),(Male),-1871,-1958,1992S,**Prints & Illustrated Books**,2015-03-27T00:00:00
Tykho Radio,Marc Berthier,(French),(Male),-1935,,2001),**Architecture & Design**,2015-03-27T00:00:00
"First state of The ""Bec Auer"" from The Large Glass and Related Works, Vol. II",Marcel Duchamp,(American),(Male),-1887,-1968,2006,**Prints & Illustrated Books**,2015-03-27T00:00:00
Ocean Game,Roger Bolomey,(American),(Male),-1918,,2016),**Painting & Sculpture**,2015-03-25T00:00:00
Punch and Judy: Tragical Comedy or Comical Tragedy,Quay Brothers,(American),(Male),-1947,,2001S,**Film**,2015-03-25T00:00:00
"Duplicate of plate from page 277 (plate 32, 1st supplementary suite) from LE SATYRICON",André Derain,(French),(Male),-1880,-1954,2017,**Prints & Illustrated Books**,2015-03-24T00:00:00
Porte. L'église Saint-Paul,Eugène Atget,(French),(Male),-1857,-1927,2016s,**Photography**,2015-03-24T00:00:00
Exposition du livre de Tristan Tzara,Pablo Picasso,(Spanish),(Male),-1881,-1973,2017s,**Architecture & Design**,2015-03-23T00:00:00
Quebec Province,Henri Cartier-Bresson,(French),(Male),-1908,-2004,2013,**Photography**,2015-03-23T00:00:00
Back cover from an untitled book,Jürgen Partenheimer,(German),(Male),-1947,,2016),**Prints & Illustrated Books**,2015-03-23T00:00:00
"Hobgoblins (Duendecitos) (plate 49, folio 49) from Los Caprichos",Francisco de Goya,(Spanish),(Male),-1746,-1828,2017s,**Prints & Illustrated Books**,2015-03-25T00:00:00
In-text plate (page 187) from LA RÉVOLTE DES ANGES,Kees van Dongen,(French),(Male),-1877,-1968,2016,**Prints & Illustrated Books**,2015-03-25T00:00:00
"Illinois Institute of Technology, S.R. Crown Hall, Chicago, IL",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017C,**Architecture & Design**,2015-03-24T00:00:00
Supplementary suite of ornaments (volume III) from LE SATYRICON,André Derain,(French),(Male),-1880,-1954,2017(,**Prints & Illustrated Books**,2015-03-25T00:00:00
Analogue,Zoe Leonard,(American),(Female),-1961,,2016,**Photography**,2015-03-25T00:00:00
"JUANITA THE INDIAN PRINCESS, SERVING TEA FOR THE VAGABOND ARTIST","George Overbury (""Pop"") Hart",(American),(Male),-1868,-1933,2016),**Prints & Illustrated Books**,2015-03-24T00:00:00
Ballet School. Designs for scenery,Franklin Chenault Watkins,(American),(Male),-1894,-1972,2017s,**Drawings**,2015-03-24T00:00:00
Black Garden,Wojciech Prazmowski,(Polish),(Male),-1949,,2016,**Photography**,2015-03-23T00:00:00
Hands Reading Braille,Imogen Cunningham,(American),(Female),-1883,-1976,2017C,**Photography**,2015-03-24T00:00:00
Untitled,Unknown,(),(),,,2017(,**Photography**,2015-03-24T00:00:00
Donald's Cousin Gus,Jack King,(American),(),-1895,-1958,2016,**Film**,2015-03-24T00:00:00
Basilica of Constantine,Giacchino Altobelli,(Italian),(Male),-1814,,2017),**Photography**,2015-03-26T00:00:00
Papal Broken-Dance,Marie Losier,(French),(Female),-1972,,2016C,**Film**,2015-03-25T00:00:00
Tears from 7 Objects/69,David Bradshaw,(American),(Male),-1944,,1992S,**Prints & Illustrated Books**,2015-03-25T00:00:00
"THIRTEENTH CHAPTER, THE DEATH OF THE TAILOR (plate, folio 25) from THE BEWITCHED TAILOR",Anatoli Lvovich Kaplan,(Russian),(Male),-1902,-1980,2001),**Prints & Illustrated Books**,2015-03-25T00:00:00
The Wall,Renzo Vespignani,(Italian),(Male),-1924,-2001,2006,**Drawings**,2015-03-26T00:00:00
Plate (page 23) from LE VOILIER DANS LA FORÊT,Jean (Hans) Arp,(French),(Male),-1886,-1966,2016),**Prints & Illustrated Books**,2015-03-26T00:00:00
"French & Company, project, New York (Manhattan), New York, Facade study",Michael Graves,(American),(Male),-1934,-2015,2001S,**Architecture & Design**,2015-03-30T00:00:00
Untitled,Wayne Miller,(American),(Male),-1918,-2013,2017,**Photography**,2015-03-30T00:00:00
EL JAUL,Max Jiménez,(Costa Rican),(Male),-1908,-1949,2016s,**Prints & Illustrated Books**,2015-03-30T00:00:00
Stationery for the Jewish Museum,Elaine Lustig Cohen,(American),(Female),-1927,-2016,2017s,**Architecture & Design**,2015-03-25T00:00:00
Pont de Limoges,Eugène Atget,(French),(Male),-1857,-1927,2013,**Photography**,2015-03-25T00:00:00
Razgovor s fininspektorom o poezii (A Conversation with a Tax-Collector about Poetry),Aleksandr Rodchenko,(Russian),(Male),-1891,-1956,2016),**Prints & Illustrated Books**,2015-03-25T00:00:00
"Versailles, Fontaine de Diane",Eugène Atget,(French),(Male),-1857,-1927,2017s,**Photography**,2015-03-25T00:00:00
Graffiti,Brassaï (Gyula Halász),(French),(Male),-1899,-1984,2016,**Photography**,2015-03-27T00:00:00
The Body Beautiful,Ngozi Onwurah,(Nigerian),(Female),-1964,,2017C,**Film**,2015-03-27T00:00:00
Untitled #351,Cindy Sherman,(American),(Female),-1954,,2017(,**Photography**,2015-03-27T00:00:00
Black Douglas Stone,Robert Motherwell,(American),(Male),-1915,-1991,2016,**Prints & Illustrated Books**,2015-03-27T00:00:00
Head of a Man,Joan Miró,(Spanish),(Male),-1893,-1983,2016),**Drawings**,2015-03-27T00:00:00
"Lunch Wagon Detail, New York",Walker Evans,(American),(Male),-1903,-1975,2017s,**Photography**,2015-03-27T00:00:00
"City Hall Park, New York",Paul Strand,(American),(Male),-1890,-1976,2016,**Photography**,2015-03-27T00:00:00
HEURTOIR 7 RUE POULLETIER,Eugène Atget,(French),(Male),-1857,-1927,2017C,**Photography**,2015-03-27T00:00:00
Lounge Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017(,**Architecture & Design**,2015-03-27T00:00:00
Still Life #3,Juan Gómez-Quiroz,(American),(Male),-1939,,2016,**Prints & Illustrated Books**,2015-03-27T00:00:00
"Variant of frontispiece for 1944 edition (volume I, frontispiece) from PASIPHAÉ",Henri Matisse,(French),(Male),-1869,-1954,2017),**Prints & Illustrated Books**,2015-03-27T00:00:00
Gertrude Lawrence,Edward Steichen,(American),(Male),-1879,-1973,2016C,**Photography**,2015-03-27T00:00:00
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Plans. Rayon-staple raw material.)",Lilly Reich,(German),(Female),-1885,-1947,1992S,**Architecture & Design**,2015-03-27T00:00:00
