Date_reported,Country,New_cases,New_deaths
21/03/2020,Uganda,1,0
21/03/2020,Eritrea,1,0
21/03/2020,Angola,2,0
21/03/2020,Madagascar,3,0
23/03/2020,Grenada,1,0
23/03/2020,Syrian Arab Republic,1,0
23/03/2020,Mozambique,1,0
24/03/2020,Dominica,2,0
24/03/2020,Belize,1,0
24/03/2020,Lao People's Democratic Republic,2,0
24/03/2020,Myanmar,2,0
24/03/2020,Turks and Caicos Islands,1,0
25/03/2020,Libya,1,0
26/03/2020,British Virgin Islands,2,0
26/03/2020,Anguilla,2,0
26/03/2020,Mali,2,0
26/03/2020,Guinea-Bissau,2,0
26/03/2020,Saint Kitts and Nevis,2,0
29/03/2020,Northern Mariana Islands (Commonwealth of the),2,0
01/04/2020,Sierra Leone,1,0
01/04/2020,Burundi,2,0
01/04/2020,Botswana,3,0
03/04/2020,Malawi,3,0
04/04/2020,"Bonaire, Sint Eustatius and Saba",2,0
05/04/2020,Falkland Islands (Malvinas),1,0
06/04/2020,Sao Tome and Principe,4,0
06/04/2020,South Sudan,1,0
08/04/2020,Saint Pierre and Miquelon,1,0
10/04/2020,Yemen,1,0
01/05/2020,Comoros,1,0
01/05/2020,Tajikistan,15,0
14/05/2020,Lesotho,1,0
